,airport,Total,identifier
545,KWE,5,Arrival
546,KWI,2458779,Arrival
547,KZN,42,Arrival
548,LAD,382163,Arrival
549,LAO,3683,Arrival
550,LAP,760589,Arrival
551,LBA,23760,Arrival
552,LBC,1,Arrival
553,LBG,6381,Arrival
554,LBV,6,Arrival
555,LBX,15191,Arrival
556,LCA,85618,Arrival
557,LCC,2,Arrival
558,LCE,36559,Arrival
559,LCG,95,Arrival
560,LCY,101570,Arrival
561,LDB,352,Arrival
562,LDE,24783,Arrival
563,LDU,54,Arrival
564,LDY,21,Arrival
565,LED,75324,Arrival
566,LEJ,19236,Arrival
567,LEV,977,Arrival
568,LFW,427,Arrival
569,LGG,6631,Arrival
570,LGI,2,Arrival
571,LGQ,1064,Arrival
572,LGW,102037880,Arrival
573,LHE,205714,Arrival
574,LHR,328296029,Arrival
575,LIB,2105,Arrival
576,LIL,22890,Arrival
577,LIM,34178939,Arrival
578,LIN,2838,Arrival
579,LIR,9072973,Arrival
580,LIS,11645289,Arrival
581,LJU,102,Arrival
582,LLA,2,Arrival
583,LMM,57719,Arrival
584,LMO,993,Arrival
585,LNZ,3,Arrival
586,LOM,21,Arrival
587,LOS,2460728,Arrival
588,LOV,32865,Arrival
589,LPA,817,Arrival
590,LPB,1332264,Arrival
591,LPI,3,Arrival
592,LPL,19465,Arrival
593,LRH,231,Arrival
594,LRI,555,Arrival
595,LRM,2052055,Arrival
596,LRT,3,Arrival
597,LSX,7772,Arrival
598,LTB,2,Arrival
599,LTM,1297,Arrival
600,LTN,318035,Arrival
601,LTO,1253424,Arrival
602,LUG,10,Arrival
603,LUN,774,Arrival
604,LUX,42919,Arrival
605,LWO,1022,Arrival
606,LYE,595,Arrival
607,LYN,50,Arrival
608,LYS,259782,Arrival
609,LYX,59,Arrival
610,MAA,94,Arrival
611,MAD,51232536,Arrival
612,MAG,1809,Arrival
613,MAH,2889,Arrival
614,MAJ,1063312,Arrival
615,MAM,741,Arrival
616,MAN,40599549,Arrival
617,MAO,2183036,Arrival
618,MAP,2724,Arrival
619,MAR,3543086,Arrival
620,MAS,8521,Arrival
621,MAY,16,Arrival
622,MBA,26,Arrival
623,MBJ,60400818,Arrival
624,MCA,1956,Arrival
625,MCP,1591,Arrival
626,MCU,656,Arrival
627,MCZ,2980,Arrival
628,MDE,7475783,Arrival
629,MDQ,119,Arrival
630,MDZ,41859,Arrival
631,MEC,2130,Arrival
632,MED,31363,Arrival
633,MEL,7442918,Arrival
634,MEN,344,Arrival
635,MES,373,Arrival
636,MEX,149869428,Arrival
637,MFM,6017,Arrival
638,MFN,7,Arrival
639,MGA,12354659,Arrival
640,MGN,4,Arrival
641,MHH,1929503,Arrival
642,MHZ,8241,Arrival
643,MID,2725170,Arrival
644,MIN,128,Arrival
645,MJB,2133,Arrival
646,MJG,126,Arrival
647,MJI,6,Arrival
648,MJT,65,Arrival
649,MJV,2,Arrival
650,MKJ,2,Arrival
651,MKP,4,Arrival
652,MKY,9,Arrival
653,MLA,5034,Arrival
654,MLH,17889,Arrival
655,MLM,5048382,Arrival
656,MLN,4794,Arrival
657,MMB,2604,Arrival
658,MME,37209,Arrival
659,MMJ,866,Arrival
660,MMX,1580,Arrival
661,MNI,15,Arrival
662,MNL,21836353,Arrival
663,MNO,4637,Arrival
664,MOA,160,Arrival
665,MOC,14,Arrival
666,MOW,4093,Arrival
667,MPI,26,Arrival
668,MPL,393,Arrival
669,MPX,465,Arrival
670,MQP,48,Arrival
671,MQS,62,Arrival
672,MRS,33883,Arrival
673,MRX,21951,Arrival
674,MSE,20707,Arrival
675,MSJ,7017,Arrival
676,MSQ,5,Arrival
677,MST,3145,Arrival
678,MTT,73,Arrival
679,MTY,22451130,Arrival
680,MTZ,1973,Arrival
681,MUC,41426234,Arrival
682,MUN,825,Arrival
683,MUR,30,Arrival
684,MVD,1342466,Arrival
685,MVJ,2338,Arrival
686,MWX,1379,Arrival
687,MXL,57042,Arrival
688,MXP,27008453,Arrival
689,MXS,9816,Arrival
690,MYE,18,Arrival
691,MYJ,22419,Arrival
692,MYT,53,Arrival
693,MZK,16,Arrival
694,MZO,13608,Arrival
695,MZT,8693583,Arrival
696,NAN,5667309,Arrival
697,NAO,12,Arrival
698,NAP,403515,Arrival
699,NAS,57218222,Arrival
700,NAT,9929,Arrival
701,NB1,4,Arrival
702,NBA,36,Arrival
703,NBC,1519,Arrival
704,NBO,143296,Arrival
705,NBW,305091,Arrival
706,NCA,1613,Arrival
707,NCE,2735973,Arrival
708,NCL,1066747,Arrival
709,NCP,255,Arrival
710,NDZ,471,Arrival
711,NER,22041,Arrival
712,NEU,962,Arrival
713,NEV,237691,Arrival
714,NGB,1271,Arrival
715,NGD,23,Arrival
716,NGO,23777559,Arrival
717,NGS,9258,Arrival
718,NHT,366,Arrival
719,NIM,25,Arrival
720,NKG,205556,Arrival
721,NKM,1217560,Arrival
722,NLD,1302,Arrival
723,NMC,19,Arrival
724,NOC,41068,Arrival
725,NON,17191,Arrival
726,NOP,1103,Arrival
727,NOU,49572,Arrival
728,NPE,8,Arrival
729,NQY,831,Arrival
730,NRK,5,Arrival
731,NRT,254928917,Arrival
732,NSB,59826,Arrival
733,NSI,6,Arrival
734,NSY,5208,Arrival
735,NTE,16670,Arrival
736,NTR,8385,Arrival
737,NUE,5438,Arrival
738,NUG,87,Arrival
739,NVT,2,Arrival
740,NWI,2206,Arrival
741,NYO,6,Arrival
742,OAX,507106,Arrival
743,OBF,64,Arrival
744,OBO,17808,Arrival
745,OCJ,4,Arrival
746,ODE,44,Arrival
747,ODS,7,Arrival
748,OHA,658,Arrival
749,OIT,8557,Arrival
750,OKA,304867,Arrival
751,OKJ,348004,Arrival
752,OKO,28455,Arrival
753,OLB,177,Arrival
754,OLL,5,Arrival
755,ON1,26,Arrival
756,ON2,1,Arrival
757,OOL,8,Arrival
758,OPO,801204,Arrival
759,OQU,7,Arrival
760,ORG,7,Arrival
761,ORK,44494,Arrival
762,ORY,14797882,Arrival
763,OSA,6474574,Arrival
764,OSD,5,Arrival
765,OSL,4874659,Arrival
766,OSN,5875,Arrival
767,OSR,176,Arrival
768,OST,20732,Arrival
769,OTD,40,Arrival
770,OTP,367132,Arrival
771,OVD,827,Arrival
772,OXF,47,Arrival
773,OZP,1481,Arrival
774,PAA,440,Arrival
775,PAC,3,Arrival
776,PAD,1243,Arrival
777,PAP,21860380,Arrival
778,PAR,20,Arrival
779,PAS,5,Arrival
780,PAZ,615,Arrival
781,PBC,712515,Arrival
782,PBL,118,Arrival
783,PBM,157701,Arrival
784,PCL,3,Arrival
785,PDL,1526680,Arrival
786,PDP,8,Arrival
787,PEE,2,Arrival
788,PEG,8,Arrival
789,PEI,40280,Arrival
790,PEK,33940033,Arrival
791,PEO,2,Arrival
792,PGF,173,Arrival
793,PHI,505,Arrival
794,PIC,348,Arrival
795,PID,103853,Arrival
796,PIK,155481,Arrival
797,PIO,4488,Arrival
798,PKC,40747,Arrival
799,PLA,351,Arrival
800,PLL,60,Arrival
801,PLQ,1,Arrival
802,PLS,11628587,Arrival
803,PMC,50,Arrival
804,PMF,7,Arrival
805,PMI,1372,Arrival
806,PMO,208487,Arrival
807,PMV,223620,Arrival
808,PMW,197,Arrival
809,PNA,27,Arrival
810,PNH,1870,Arrival
811,PNI,88253,Arrival
812,POA,163255,Arrival
813,POM,16295,Arrival
814,POP,11285666,Arrival
815,POS,18657625,Arrival
816,POX,3,Arrival
817,POZ,7,Arrival
818,PPE,3266,Arrival
819,PPO,83,Arrival
820,PPP,1412,Arrival
821,PPT,11138150,Arrival
822,PRG,3008527,Arrival
823,PRN,3562,Arrival
824,PSA,331993,Arrival
825,PSD,218,Arrival
826,PSO,349,Arrival
827,PSR,85,Arrival
828,PT1,10,Arrival
829,PTP,1215258,Arrival
830,PTY,42002366,Arrival
831,PUD,152,Arrival
832,PUF,277,Arrival
833,PUG,2,Arrival
834,PUJ,33885631,Arrival
835,PUQ,1859,Arrival
836,PUR,339,Arrival
837,PUS,1907916,Arrival
838,PVG,29592744,Arrival
839,PVK,4,Arrival
840,PVR,40865638,Arrival
841,PVS,1788,Arrival
842,PZA,422,Arrival
843,PZO,5590,Arrival
844,QC1,1,Arrival
845,QDC,93,Arrival
846,QPG,124,Arrival
847,QRO,2000256,Arrival
848,QSR,31,Arrival
849,RAB,17,Arrival
850,RAI,347237,Arrival
851,RAK,1394,Arrival
852,RAR,601788,Arrival
853,RBA,79,Arrival
854,RBR,70,Arrival
855,REC,1090079,Arrival
856,REK,372,Arrival
857,REP,4,Arrival
858,RES,2438,Arrival
859,REX,393,Arrival
860,RGA,3,Arrival
861,RGN,84,Arrival
862,RHO,4,Arrival
863,RIX,346205,Arrival
864,RJK,24,Arrival
865,RKE,13,Arrival
866,RKT,1,Arrival
867,RKV,171,Arrival
868,RLG,146,Arrival
869,RMI,16,Arrival
870,RMS,23714,Arrival
871,ROB,12944,Arrival
872,ROR,1362259,Arrival
873,ROS,2414,Arrival
874,ROU,47,Arrival
875,ROV,8,Arrival
876,RSD,5035,Arrival
877,RTB,1517669,Arrival
878,RTM,3103,Arrival
879,RTS,2,Arrival
880,RU4,6,Arrival
881,RUH,1394494,Arrival
882,RVA,65,Arrival
883,RVN,82,Arrival
884,RZA,169,Arrival
885,RZE,78935,Arrival
886,SAL,33185319,Arrival
887,SAP,11467256,Arrival
888,SAQ,4153,Arrival
889,SAW,142,Arrival
890,SBH,140351,Arrival
891,SCL,17962758,Arrival
892,SCN,1,Arrival
893,SCQ,47261,Arrival
894,SCU,344454,Arrival
895,SDG,242,Arrival
896,SDJ,2101274,Arrival
897,SDL,51,Arrival
898,SDQ,55615565,Arrival
899,SDR,29,Arrival
900,SEL,27267747,Arrival
901,SEN,53,Arrival
902,SEZ,204,Arrival
903,SFD,924,Arrival
904,SFG,18,Arrival
905,SFH,1168,Arrival
906,SFJ,4030,Arrival
907,SFS,140,Arrival
908,SGD,118,Arrival
909,SGJ,1,Arrival
910,SGN,553,Arrival
911,SGX,5,Arrival
912,SHA,1511649,Arrival
913,SHB,202,Arrival
914,SHE,96315,Arrival
915,SHI,9,Arrival
916,SHJ,138,Arrival
917,SID,1789438,Arrival
918,SIN,3067386,Arrival
919,SIR,29,Arrival
920,SJD,47188767,Arrival
921,SJI,166,Arrival
922,SJJ,5,Arrival
923,SJO,40849992,Arrival
924,SJW,7277,Arrival
925,SKB,3756743,Arrival
926,SKG,3059,Arrival
927,SKP,17,Arrival
928,SKX,14,Arrival
929,SLI,95,Arrival
930,SLM,24,Arrival
931,SLP,1507373,Arrival
932,SLS,110,Arrival
933,SLU,1615888,Arrival
934,SLW,254131,Arrival
935,SLZ,5093,Arrival
936,SMA,31676,Arrival
937,SMB,20,Arrival
938,SML,376,Arrival
939,SMR,5226,Arrival
940,SMV,38,Arrival
941,SNN,18198214,Arrival
942,SNR,33,Arrival
943,SNU,1036236,Arrival
944,SOF,195759,Arrival
945,SOI,2780,Arrival
946,SOU,29,Arrival
947,SPK,118,Arrival
948,SPU,321,Arrival
949,SRI,2,Arrival
950,SSA,593765,Arrival
951,SSG,4542,Arrival
952,SSH,230,Arrival
953,SSJ,4132,Arrival
954,SSL,5,Arrival
955,SSN,2742,Arrival
956,SSS,84,Arrival
957,STD,613,Arrival
958,STI,18140885,Arrival
959,STM,382,Arrival
960,STN,824040,Arrival
961,STO,26,Arrival
962,STR,3152235,Arrival
963,SUB,121,Arrival
964,SUF,12,Arrival
965,SUJ,19308,Arrival
966,SVD,188860,Arrival
967,SVG,19458,Arrival
968,SVO,12901356,Arrival
969,SVQ,934,Arrival
970,SVX,2,Arrival
971,SVZ,24019,Arrival
972,SWI,127,Arrival
973,SWL,94,Arrival
974,SXB,327,Arrival
975,SXF,25666,Arrival
976,SXM,18005753,Arrival
977,SXU,7,Arrival
978,SYD,40564927,Arrival
979,SYO,2448,Arrival
980,SZB,317,Arrival
981,SZG,629,Arrival
982,SZT,5,Arrival
983,SZX,243560,Arrival
984,TAB,249226,Arrival
985,TAE,2525,Arrival
986,TAF,1293,Arrival
987,TAK,29692,Arrival
988,TAM,633279,Arrival
989,TAO,276997,Arrival
990,TAP,374,Arrival
991,TAR,3,Arrival
992,TAS,76078,Arrival
993,TBI,12549,Arrival
994,TBS,131,Arrival
995,TBU,128945,Arrival
996,TCB,361243,Arrival
997,TCP,80,Arrival
998,TER,644483,Arrival
999,TET,16,Arrival
1000,TFN,17260,Arrival
1001,TFS,37087,Arrival
1002,TGD,107,Arrival
1003,TGU,5130415,Arrival
1004,TGZ,24984,Arrival
1005,THE,1282,Arrival
1006,THF,62,Arrival
1007,THU,362,Arrival
1008,TIA,3811,Arrival
1009,TIF,14,Arrival
1010,TIJ,309173,Arrival
1011,TIP,4,Arrival
1012,TIV,40,Arrival
1013,TKK,1618197,Arrival
1014,TKS,1175,Arrival
1015,TKU,4218,Arrival
1016,TLC,697221,Arrival
1017,TLL,195,Arrival
1018,TLN,141,Arrival
1019,TLS,11291,Arrival
1020,TLV,32150210,Arrival
1021,TMP,534,Arrival
1022,TNA,146841,Arrival
1023,TNG,80,Arrival
1024,TNN,306,Arrival
1025,TOJ,744,Arrival
1026,TOS,14,Arrival
1027,TOV,14,Arrival
1028,TOY,19458,Arrival
1029,TPE,61956124,Arrival
1030,TPP,26140,Arrival
1031,TPQ,33034,Arrival
1032,TPR,9313,Arrival
1033,TRC,968978,Arrival
1034,TRD,728,Arrival
1035,TRF,11639,Arrival
1036,TRK,5,Arrival
1037,TRN,7870,Arrival
1038,TRS,115,Arrival
1039,TRU,697,Arrival
1040,TSA,38,Arrival
1041,TSB,4,Arrival
1042,TSE,16,Arrival
1043,TSF,102,Arrival
1044,TSN,8911,Arrival
1045,TSR,208582,Arrival
1046,TSV,765,Arrival
1047,TTH,88,Arrival
1048,TTJ,2634,Arrival
1049,TUC,701,Arrival
1050,TUF,23,Arrival
1051,TUM,7830,Arrival
1052,TUN,3,Arrival
1053,TUT,204,Arrival
1054,TXL,5332630,Arrival
1055,TYL,2,Arrival
1056,TYM,422,Arrival
1057,TYN,549,Arrival
1058,TYO,6,Arrival
1059,TZN,3403,Arrival
1060,UAK,229,Arrival
1061,UBJ,3865,Arrival
1062,UBP,54,Arrival
1063,UDJ,3,Arrival
1064,UIO,10717791,Arrival
1065,UK1,2,Arrival
1066,UKB,2,Arrival
1067,ULN,135,Arrival
1068,UNI,263,Arrival
1069,UPN,92455,Arrival
1070,USH,737,Arrival
1071,UTP,759,Arrival
1072,UUS,4822,Arrival
1073,UUU,3,Arrival
1074,UVF,5471810,Arrival
1075,VAR,7,Arrival
1076,VAV,1323,Arrival
1077,VCE,4027054,Arrival
1078,VCP,2217638,Arrival
1079,VDA,3090,Arrival
1080,VER,926876,Arrival
1081,VGO,3,Arrival
1082,VIE,9880531,Arrival
1083,VIG,201,Arrival
1084,VIJ,94259,Arrival
1085,VIT,399,Arrival
1086,VIX,3,Arrival
1087,VKO,252301,Arrival
1088,VLC,74574,Arrival
1089,VLI,82,Arrival
1090,VLL,3,Arrival
1091,VLN,949240,Arrival
1092,VNO,6,Arrival
1093,VRA,304986,Arrival
1094,VRN,63,Arrival
1095,VSA,542014,Arrival
1096,VST,1,Arrival
1097,VUP,6,Arrival
1098,VVI,2591449,Arrival
1099,VVO,28663,Arrival
1100,VZX,44,Arrival
1101,WAT,5,Arrival
1102,WAW,9774221,Arrival
1103,WDH,297,Arrival
1104,WGL,7,Arrival
1105,WKR,2063,Arrival
1106,WLG,412,Arrival
1107,WMI,1,Arrival
1108,WRO,2,Arrival
1109,WTD,5967,Arrival
1110,WUH,370544,Arrival
1111,WUX,1069,Arrival
1112,XCM,10,Arrival
1113,XIY,62639,Arrival
1114,XMN,183315,Arrival
1115,XNG,163,Arrival
1116,XPL,762,Arrival
1117,XRY,238,Arrival
1118,XSP,6,Arrival
1119,XWQ,399,Arrival
1120,YAF,463,Arrival
1121,YAM,5975,Arrival
1122,YAP,798180,Arrival
1123,YAT,555,Arrival
1124,YAU,1,Arrival
1125,YAZ,2458,Arrival
1126,YBG,552,Arrival
1127,YBL,47083,Arrival
1128,YBS,78,Arrival
1129,YBW,473,Arrival
1130,YCC,151,Arrival
1131,YCD,7963,Arrival
1132,YCE,1,Arrival
1133,YCF,3646,Arrival
1134,YCG,454,Arrival
1135,YCH,197,Arrival
1136,YCJ,53082,Arrival
1137,YCK,53,Arrival
1138,YCL,173,Arrival
1139,YCM,37,Arrival
1140,YCO,6,Arrival
1141,YDA,4396,Arrival
1142,YDF,2632,Arrival
1143,YDL,19,Arrival
1144,YDS,2532,Arrival
1145,YEG,20376505,Arrival
1146,YEM,39,Arrival
1147,YEV,781,Arrival
1148,YFB,9579,Arrival
1149,YFC,83520,Arrival
1150,YGB,20,Arrival
1151,YGE,161,Arrival
1152,YGG,234,Arrival
1153,YGJ,1430,Arrival
1154,YGK,150,Arrival
1155,YGL,75,Arrival
1156,YGN,263,Arrival
1157,YGP,10,Arrival
1158,YGR,20,Arrival
1159,YHD,213,Arrival
1160,YHH,6693,Arrival
1161,YHM,236614,Arrival
1162,YHR,66,Arrival
1163,YHS,428,Arrival
1164,YHT,104,Arrival
1165,YHU,26332,Arrival
1166,YHZ,7628808,Arrival
1167,YIG,2394,Arrival
1168,YJT,34802,Arrival
1169,YKA,65498,Arrival
1170,YKF,307368,Arrival
1171,YKS,152,Arrival
1172,YKZ,808,Arrival
1173,YLS,185,Arrival
1174,YLW,2150317,Arrival
1175,YMA,385,Arrival
1176,YMF,38,Arrival
1177,YMH,2,Arrival
1178,YML,14,Arrival
1179,YMM,29580,Arrival
1180,YMP,2751,Arrival
1181,YMU,107,Arrival
1182,YMV,467,Arrival
1183,YMW,8,Arrival
1184,YMX,3111971,Arrival
1185,YND,13,Arrival
1186,YNK,337,Arrival
1187,YNL,5068,Arrival
1188,YNY,412,Arrival
1189,YOC,2062,Arrival
1190,YOD,4519,Arrival
1191,YOG,83,Arrival
1192,YOO,25,Arrival
1193,YOW,16231288,Arrival
1194,YPA,160,Arrival
1195,YPD,106,Arrival
1196,YPQ,2731,Arrival
1197,YPR,800,Arrival
1198,YPS,106,Arrival
1199,YPT,147,Arrival
1200,YPW,2770,Arrival
1201,YQA,420,Arrival
1202,YQB,4020435,Arrival
1203,YQD,215,Arrival
1204,YQF,24,Arrival
1205,YQG,11301,Arrival
1206,YQI,294,Arrival
1207,YQJ,175,Arrival
1208,YQK,16693,Arrival
1209,YQL,2490,Arrival
1210,YQM,343260,Arrival
1211,YQQ,169,Arrival
1212,YQR,2449126,Arrival
1213,YQT,312049,Arrival
1214,YQU,1159,Arrival
1215,YQX,1925316,Arrival
1216,YQY,1727,Arrival
1217,YQZ,161,Arrival
1218,YR1,58,Arrival
1219,YRC,46,Arrival
1220,YRI,2,Arrival
1221,YRJ,19,Arrival
1222,YRQ,297,Arrival
1223,YSB,443,Arrival
1224,YSC,18,Arrival
1225,YSF,27,Arrival
1226,YSJ,15128,Arrival
1227,YSL,13,Arrival
1228,YSN,32,Arrival
1229,YSP,37,Arrival
1230,YSU,459,Arrival
1231,YTA,2,Arrival
1232,YTF,6,Arrival
1233,YTG,1138,Arrival
1234,YTM,12632,Arrival
1235,YTP,151,Arrival
1236,YTR,2419,Arrival
1237,YTS,668,Arrival
1238,YTZ,7951711,Arrival
1239,YUB,652,Arrival
1240,YUL,86563501,Arrival
1241,YUY,36,Arrival
1242,YVB,465,Arrival
1243,YVC,916,Arrival
1244,YVO,50,Arrival
1245,YVR,121361766,Arrival
1246,YWG,12019096,Arrival
1247,YWH,239930,Arrival
1248,YWL,1419,Arrival
1249,YWR,636,Arrival
1250,YWS,53,Arrival
1251,YXC,4537,Arrival
1252,YXD,263,Arrival
1253,YXE,2828448,Arrival
1254,YXH,69,Arrival
1255,YXJ,632,Arrival
1256,YXR,24,Arrival
1257,YXS,11342,Arrival
1258,YXT,1356,Arrival
1259,YXU,922785,Arrival
1260,YXX,25523,Arrival
1261,YXY,98846,Arrival
1262,YXZ,1254,Arrival
1263,YYB,1669,Arrival
1264,YYC,61098631,Arrival
1265,YYD,16,Arrival
1266,YYF,1577,Arrival
1267,YYG,75562,Arrival
1268,YYJ,5336682,Arrival
1269,YYL,258,Arrival
1270,YYN,754,Arrival
1271,YYQ,1267,Arrival
1272,YYR,210192,Arrival
1273,YYT,762546,Arrival
1274,YYU,468,Arrival
1275,YYY,472,Arrival
1276,YYZ,258191532,Arrival
1277,YZE,16,Arrival
1278,YZF,7020,Arrival
1279,YZR,56,Arrival
1280,YZT,12878,Arrival
1281,YZV,227,Arrival
1282,ZAG,6188,Arrival
1283,ZAM,176,Arrival
1284,ZAZ,487,Arrival
1285,ZBF,5,Arrival
1286,ZBM,40,Arrival
1287,ZCL,2879084,Arrival
1288,ZEL,44,Arrival
1289,ZIH,4503953,Arrival
1290,ZLO,1557557,Arrival
1291,ZMD,1342,Arrival
1292,ZMH,5,Arrival
1293,ZMT,91,Arrival
1294,ZNA,8712,Arrival
1295,ZQN,2,Arrival
1296,ZRH,45099128,Arrival
1297,ZSA,158739,Arrival
1298,ZSL,7,Arrival
1299,ZSW,143,Arrival
1300,ZTS,47,Arrival
1301,ZUH,258,Arrival
1302,ZXA,3989,Arrival
1303,ZXD,259,Arrival
