Country,Year,Value
Germany,1997,15837
Germany,1998,16511
Germany,1999,17116
Germany,2000,18983
Germany,2001,17861
Germany,2002,17969
Germany,2003,18399
Germany,2004,20137
Germany,2005,21500
Germany,2006,23569
Germany,2007,24421
Germany,2008,24884
Germany,2009,24220
Germany,2010,26875
Germany,2011,28374
Germany,2012,30411
Germany,2013,31545
Germany,2014,32999
Germany,2015,34970
Germany,2016,35555
Germany,2017,37452
Germany,2018,38881
Germany,2019,39563
Germany,2020,12449
United Kingdom,1995,23537
United Kingdom,1996,25163
United Kingdom,1997,25515
United Kingdom,1998,25745
United Kingdom,1999,25394
United Kingdom,2000,25209
United Kingdom,2001,22835
United Kingdom,2002,24180
United Kingdom,2003,24715
United Kingdom,2004,27755
United Kingdom,2005,29970
United Kingdom,2006,32713
United Kingdom,2007,32778
United Kingdom,2008,31888
United Kingdom,2009,31072
United Kingdom,2010,30398
United Kingdom,2011,31886
United Kingdom,2012,32221
United Kingdom,2013,33567
United Kingdom,2014,35337
United Kingdom,2015,36792
United Kingdom,2016,39129
United Kingdom,2017,41080
United Kingdom,2018,40283
United Kingdom,2019,40857
United Kingdom,2020,11101
Virgin Islands (U.S.),1995,1741
Virgin Islands (U.S.),1996,1779
Virgin Islands (U.S.),1997,2128
Virgin Islands (U.S.),1998,2139
Virgin Islands (U.S.),1999,1964
Virgin Islands (U.S.),2000,2396
Virgin Islands (U.S.),2001,2497
Virgin Islands (U.S.),2002,2337
Virgin Islands (U.S.),2003,2395
Virgin Islands (U.S.),2004,2620
Virgin Islands (U.S.),2005,2602
Virgin Islands (U.S.),2006,2571
Virgin Islands (U.S.),2007,2606
Virgin Islands (U.S.),2008,2435
Virgin Islands (U.S.),2009,2245
Virgin Islands (U.S.),2010,2531
Virgin Islands (U.S.),2011,2686
Virgin Islands (U.S.),2012,2640
Virgin Islands (U.S.),2013,2702
Virgin Islands (U.S.),2014,2814
Virgin Islands (U.S.),2015,2643
Virgin Islands (U.S.),2016,2574
Virgin Islands (U.S.),2017,1954
Virgin Islands (U.S.),2018,1922
Virgin Islands (U.S.),2019,2074
Virgin Islands (U.S.),2020,8612
United Arab Emirates,2015,19313
United Arab Emirates,2016,20894
United Arab Emirates,2017,21805
United Arab Emirates,2018,23092
United Arab Emirates,2019,25282
United Arab Emirates,2020,8084
